pilota,classe,team,posizioneCalendario,anno,numeroDiGara,tipoIscrizione,risultato,costruttore,modello
000026,MotoGP,Gresini Racing,6,2022,49,Titolare,0000137,001,Desmosedici GP21
000026,MotoGP,Gresini Racing,7,2022,49,Titolare,0000157,001,Desmosedici GP21
000026,MotoGP,Gresini Racing,8,2022,49,Titolare,0000179,001,Desmosedici GP21
000026,MotoGP,Gresini Racing,9,2022,49,Titolare,0000213,001,Desmosedici GP21
000026,MotoGP,Gresini Racing,10,2022,49,Titolare,0000227,001,Desmosedici GP21
000026,MotoGP,Gresini Racing,11,2022,49,Titolare,0000256,001,Desmosedici GP21
000026,Moto2,Team Gresini,1,2021,21,Titolare,0000935,011,Kalex Moto2
000026,Moto2,Team Gresini,2,2021,21,Titolare,0001020,011,Kalex Moto2
000026,Moto2,Team Gresini,3,2021,21,Titolare,0001098,011,Kalex Moto2
000026,Moto2,Team Gresini,4,2021,21,Titolare,0001169,011,Kalex Moto2
000026,Moto2,Team Gresini,5,2021,21,Titolare,0001256,011,Kalex Moto2
000026,Moto2,Team Gresini,6,2021,21,Titolare,0001351,011,Kalex Moto2
000026,Moto2,Team Gresini,7,2021,21,Titolare,0001435,011,Kalex Moto2
000026,Moto2,Team Gresini,8,2021,21,Titolare,0001492,011,Kalex Moto2
000026,Moto2,Team Gresini,9,2021,21,Titolare,0001592,011,Kalex Moto2
000026,Moto2,Team Gresini,10,2021,21,Titolare,0001657,011,Kalex Moto2
000026,Moto2,Team Gresini,11,2021,21,Titolare,0001731,011,Kalex Moto2
000026,Moto2,Team Gresini,12,2021,21,Titolare,0001801,011,Kalex Moto2
000026,Moto2,Team Gresini,13,2021,21,Titolare,0001880,011,Kalex Moto2
000026,Moto2,Team Gresini,14,2021,21,Titolare,0001967,011,Kalex Moto2
000026,Moto2,Team Gresini,15,2021,21,Titolare,0002039,011,Kalex Moto2
000026,Moto2,Team Gresini,16,2021,21,Titolare,0002123,011,Kalex Moto2
000026,Moto2,Team Gresini,17,2021,21,Titolare,0002205,011,Kalex Moto2
000026,Moto2,Team Gresini,18,2021,21,Titolare,0002274,011,Kalex Moto2
000027,MotoGP,Repsol Honda Team,1,2021,6,Sostituto,0000921,002,RC213V
000027,MotoGP,Repsol Honda Team,2,2021,6,Sostituto,0001002,002,RC213V
000027,MotoGP,Repsol Honda Team,3,2022,6,Wildcard,0000066,002,RC213V
000027,MotoGP,Repsol Honda Team,4,2021,6,Wildcard,0001157,002,RC213V
000027,MotoGP,Repsol Honda Team,6,2022,6,Wildcard,0000142,002,RC213V
000027,MotoGP,Repsol Honda Team,9,2022,6,Sostituto,0000217,002,RC213V
000027,MotoGP,Repsol Honda Team,10,2022,6,Sostituto,0000235,002,RC213V
000027,MotoGP,Repsol Honda Team,11,2022,6,Sostituto,0000260,002,RC213V
000027,MotoGP,Repsol Honda Team,14,2021,6,Wildcard,0001948,002,RC213V
000027,MotoGP,Repsol Honda Team,17,2021,6,Sostituto,0002187,002,RC213V
000028,MotoGP,Aruba.it Racing,8,2022,51,Wildcard,0000186,001,Desmosedici GP22
000028,MotoGP,Aruba.it Racing,9,2022,51,Wildcard,0000210,001,Desmosedici GP22
000028,MotoGP,Ducati Lenovo Team,14,2021,51,Wildcard,0001945,001,Desmosedici GP21
000028,MotoGP,Ducati Lenovo Team,16,2021,51,Wildcard,0002104,001,Desmosedici GP21
000028,MotoGP,Pramac Racing,6,2021,51,Sostituto,0001320,001,Desmosedici GP21
000029,MotoGP,LCR Honda,1,2021,73,Titolare,0000930,002,RC213V
000029,MotoGP,LCR Honda,1,2022,73,Titolare,0000022,002,RC213V
000029,MotoGP,LCR Honda,2,2021,73,Titolare,0001009,002,RC213V
000029,MotoGP,LCR Honda,2,2022,73,Titolare,0000037,002,RC213V
000029,MotoGP,LCR Honda,3,2021,73,Titolare,0001074,002,RC213V
000029,MotoGP,LCR Honda,3,2022,73,Titolare,0000062,002,RC213V
000029,MotoGP,LCR Honda,4,2021,73,Titolare,0001168,002,RC213V
000029,MotoGP,LCR Honda,4,2022,73,Titolare,0000094,002,RC213V
000029,MotoGP,LCR Honda,5,2021,73,Titolare,0001232,002,RC213V
000029,MotoGP,LCR Honda,5,2022,73,Titolare,0000102,002,RC213V
000029,MotoGP,LCR Honda,6,2021,73,Titolare,0001321,002,RC213V
000029,MotoGP,LCR Honda,6,2022,73,Titolare,0000132,002,RC213V
000029,MotoGP,LCR Honda,7,2021,73,Titolare,0001397,002,RC213V
000029,MotoGP,LCR Honda,7,2022,73,Titolare,0000158,002,RC213V
000029,MotoGP,LCR Honda,8,2021,73,Titolare,0001488,002,RC213V
000029,MotoGP,LCR Honda,8,2022,73,Titolare,0000182,002,RC213V
000029,MotoGP,LCR Honda,9,2021,73,Titolare,0001558,002,RC213V
000029,MotoGP,LCR Honda,9,2022,73,Titolare,0000204,002,RC213V
000029,MotoGP,LCR Honda,10,2021,73,Titolare,0001631,002,RC213V
000029,MotoGP,LCR Honda,10,2022,73,Titolare,0000239,002,RC213V
000029,MotoGP,LCR Honda,11,2021,73,Titolare,0001708,002,RC213V
000029,MotoGP,LCR Honda,11,2022,73,Titolare,0000257,002,RC213V
000029,MotoGP,LCR Honda,12,2021,73,Titolare,0001783,002,RC213V
000029,MotoGP,LCR Honda,13,2021,73,Titolare,0001874,002,RC213V
000029,MotoGP,LCR Honda,14,2021,73,Titolare,0001949,002,RC213V
000029,MotoGP,LCR Honda,15,2021,73,Titolare,0002028,002,RC213V
000029,MotoGP,LCR Honda,16,2021,73,Titolare,0002112,002,RC213V
000029,MotoGP,LCR Honda,17,2021,73,Titolare,0002176,002,RC213V
000029,MotoGP,LCR Honda,18,2021,73,Titolare,0002265,002,RC213V
000030,MotoGP,Aprilia Racing,1,2022,12,Titolare,0000012,006,RS-GP
000030,MotoGP,Aprilia Racing,2,2022,12,Titolare,0000040,006,RS-GP
000030,MotoGP,Aprilia Racing,3,2022,12,Titolare,0000054,006,RS-GP
000030,MotoGP,Aprilia Racing,4,2022,12,Titolare,0000081,006,RS-GP
000030,MotoGP,Aprilia Racing,5,2022,12,Titolare,0000105,006,RS-GP
000030,MotoGP,Aprilia Racing,6,2022,12,Titolare,0000133,006,RS-GP
000030,MotoGP,Aprilia Racing,7,2022,12,Titolare,0000154,006,RS-GP
000030,MotoGP,Aprilia Racing,8,2022,12,Titolare,0000180,006,RS-GP
000030,MotoGP,Aprilia Racing,9,2022,12,Titolare,0000201,006,RS-GP
000030,MotoGP,Aprilia Racing,10,2022,12,Titolare,0000237,006,RS-GP
000030,MotoGP,Aprilia Racing,11,2022,12,Titolare,0000245,006,RS-GP
000030,MotoGP,Monster Energy Yamaha MotoGP,1,2021,12,Titolare,0000911,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,2,2021,12,Titolare,0000993,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,3,2021,12,Titolare,0001077,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,4,2021,12,Titolare,0001152,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,5,2021,12,Titolare,0001236,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,6,2021,12,Titolare,0001315,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,7,2021,12,Titolare,0001391,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,8,2021,12,Titolare,0001485,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,9,2021,12,Titolare,0001546,003,YZR-M1
000030,MotoGP,Monster Energy Yamaha MotoGP,10,2021,12,Titolare,0001641,003,YZR-M1
000030,MotoGP,Team Gresini,13,2021,12,Titolare,0001870,006,RS-GP
000030,MotoGP,Team Gresini,14,2021,12,Titolare,0001947,006,RS-GP
000030,MotoGP,Team Gresini,16,2021,12,Titolare,0002100,006,RS-GP
000030,MotoGP,Team Gresini,17,2021,12,Titolare,0002188,006,RS-GP
000030,MotoGP,Team Gresini,18,2021,12,Titolare,0002268,006,RS-GP
000031,Moto2,Speed Up Racing,1,2022,5,Titolare,0000281,010,B-22
000031,Moto2,Speed Up Racing,2,2022,5,Titolare,0000314,010,B-22
000031,Moto2,Speed Up Racing,3,2022,5,Titolare,0000342,010,B-22
000031,Moto2,Speed Up Racing,4,2022,5,Titolare,0000454,010,B-22
000031,Moto2,Speed Up Racing,5,2022,5,Titolare,0000508,010,B-22
000031,Moto2,Speed Up Racing,6,2022,5,Titolare,0000587,010,B-22
000031,Moto3,Sterilgarda Max Racing Team,1,2021,55,Titolare,0000971,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,2,2021,55,Titolare,0001048,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,3,2021,55,Titolare,0001124,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,4,2021,55,Titolare,0001200,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,5,2021,55,Titolare,0001289,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,6,2021,55,Titolare,0001364,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,7,2021,55,Titolare,0001450,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,8,2021,55,Titolare,0001531,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,9,2021,55,Titolare,0001598,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,10,2021,55,Titolare,0001677,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,11,2021,55,Titolare,0001754,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,12,2021,55,Titolare,0001826,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,13,2021,55,Titolare,0001920,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,14,2021,55,Titolare,0002015,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,15,2021,55,Titolare,0002078,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,16,2021,55,Titolare,0002151,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,17,2021,55,Titolare,0002232,008,FR250GP
000031,Moto3,Sterilgarda Max Racing Team,18,2021,55,Titolare,0002311,008,FR250GP
000032,Moto2,Flexbox HP40,8,2021,2,Sostituto,0001500,011,Kalex Moto2
000032,Moto2,Speed Up,5,2021,2,Sostituto,0001276,010,B-21
000032,Moto2,Speed Up,7,2021,2,Sostituto,0001428,010,B-21
000032,Moto2,Speed Up,9,2021,2,Sostituto,0001583,010,B-21
000032,Moto2,Speed Up Racing,7,2022,21,Titolare,0000641,010,B-22
000032,Moto2,Speed Up Racing,8,2022,21,Titolare,0000681,010,B-22
000032,Moto2,Speed Up Racing,9,2022,21,Titolare,0000739,010,B-22
000032,Moto2,Speed Up Racing,10,2022,21,Titolare,0000799,010,B-22
000032,Moto2,Speed Up Racing,11,2022,21,Titolare,0000858,010,B-22
000033,MotoE,Aspar Team,4,2021,2,Titolare,,013,Ego Corsa
000033,MotoE,Aspar Team,5,2021,2,Titolare,,013,Ego Corsa
000033,MotoE,Aspar Team,7,2021,2,Titolare,,013,Ego Corsa
000033,MotoE,Aspar Team,9,2021,2,Titolare,,013,Ego Corsa
000033,MotoE,Aspar Team,11,2021,2,Titolare,,013,Ego Corsa
000033,MotoE,Aspar Team,14,2021,2,Titolare,,013,Ego Corsa
000033,Moto2,Speed Up,6,2021,2,Sostituto,0001341,010,B-21
000033,Moto2,Speed Up,8,2021,54,Sostituto,0001517,010,B-21
000033,Moto2,Speed Up,12,2021,2,Sostituto,0001812,010,B-21
000033,Moto2,Speed Up,13,2021,2,Sostituto,0001881,010,B-21
000033,Moto2,Speed Up,15,2021,2,Titolare,0002058,010,B-21
000033,Moto2,Speed Up,16,2021,2,Titolare,0002131,010,B-21
000033,Moto2,Speed Up,17,2021,2,Titolare,0002210,010,B-21
000033,Moto2,Speed Up,18,2021,2,Titolare,0002289,010,B-21
000033,Moto2,Speed Up Racing,1,2022,54,Titolare,0000282,010,B-22
000033,Moto2,Speed Up Racing,2,2022,54,Titolare,0000302,010,B-22
000033,Moto2,Speed Up Racing,3,2022,54,Titolare,0000349,010,B-22
000033,Moto2,Speed Up Racing,4,2022,54,Titolare,0000467,010,B-22
000033,Moto2,Speed Up Racing,5,2022,54,Titolare,0000504,010,B-22
000033,Moto2,Speed Up Racing,6,2022,54,Titolare,0000581,010,B-22
000033,Moto2,Speed Up Racing,7,2022,54,Titolare,0000643,010,B-22
000033,Moto2,Speed Up Racing,8,2022,54,Titolare,0000687,010,B-22
000033,Moto2,Speed Up Racing,9,2022,54,Titolare,0000746,010,B-22
000033,Moto2,Speed Up Racing,10,2022,54,Titolare,0000797,010,B-22
000033,Moto2,Speed Up Racing,11,2022,54,Titolare,0000863,010,B-22
000034,Moto2,American Racing,1,2022,4,Titolare,0000291,011,Kalex Moto2
000034,Moto2,American Racing,2,2022,4,Titolare,0000321,011,Kalex Moto2
000034,Moto2,American Racing,3,2022,4,Titolare,0000353,011,Kalex Moto2
000034,Moto2,American Racing,4,2022,4,Titolare,0000456,011,Kalex Moto2
000034,Moto2,American Racing,5,2022,4,Titolare,0000510,011,Kalex Moto2
000034,Moto2,American Racing,6,2022,4,Titolare,0000579,011,Kalex Moto2
000034,Moto2,American Racing,7,2022,4,Titolare,0000635,011,Kalex Moto2
000034,Moto2,American Racing,8,2022,4,Titolare,0000696,011,Kalex Moto2
000034,Moto2,American Racing,9,2022,4,Titolare,0000752,011,Kalex Moto2
000034,Moto2,American Racing,10,2022,4,Titolare,0000809,011,Kalex Moto2
000034,Moto2,American Racing,11,2022,4,Titolare,0000871,011,Kalex Moto2
000035,Moto2,American Racing,1,2021,6,Titolare,0000943,011,Kalex Moto2
000035,Moto2,American Racing,1,2022,6,Titolare,0000275,011,Kalex Moto2
000035,Moto2,American Racing,2,2021,6,Titolare,0001036,011,Kalex Moto2
000035,Moto2,American Racing,2,2022,6,Titolare,0000307,011,Kalex Moto2
000035,Moto2,American Racing,3,2021,6,Titolare,0001096,011,Kalex Moto2
000035,Moto2,American Racing,3,2022,6,Titolare,0000335,011,Kalex Moto2
000035,Moto2,American Racing,4,2021,6,Titolare,0001192,011,Kalex Moto2
000035,Moto2,American Racing,4,2022,6,Titolare,0000457,011,Kalex Moto2
000035,Moto2,American Racing,5,2021,6,Titolare,0001269,011,Kalex Moto2
000035,Moto2,American Racing,5,2022,6,Titolare,0000516,011,Kalex Moto2
000035,Moto2,American Racing,6,2021,6,Titolare,0001337,011,Kalex Moto2
000035,Moto2,American Racing,6,2022,6,Titolare,0000585,011,Kalex Moto2
000035,Moto2,American Racing,7,2021,6,Titolare,0001426,011,Kalex Moto2
000035,Moto2,American Racing,7,2022,6,Titolare,0000619,011,Kalex Moto2
000035,Moto2,American Racing,8,2021,6,Titolare,0001498,011,Kalex Moto2
000035,Moto2,American Racing,8,2022,6,Titolare,0000680,011,Kalex Moto2
000035,Moto2,American Racing,9,2021,6,Titolare,0001582,011,Kalex Moto2
000035,Moto2,American Racing,9,2022,6,Titolare,0000760,011,Kalex Moto2
000035,Moto2,American Racing,10,2021,6,Titolare,0001670,011,Kalex Moto2
000035,Moto2,American Racing,10,2022,6,Titolare,0000806,011,Kalex Moto2
000035,Moto2,American Racing,11,2021,6,Titolare,0001739,011,Kalex Moto2
000035,Moto2,American Racing,11,2022,6,Titolare,0000877,011,Kalex Moto2
000035,Moto2,American Racing,12,2021,6,Titolare,0001821,011,Kalex Moto2
000035,Moto2,American Racing,13,2021,6,Titolare,0001888,011,Kalex Moto2
000035,Moto2,American Racing,14,2021,6,Titolare,0001979,011,Kalex Moto2
000035,Moto2,American Racing,15,2021,6,Titolare,0002042,011,Kalex Moto2
000035,Moto2,American Racing,16,2021,6,Titolare,0002143,011,Kalex Moto2
000035,Moto2,American Racing,17,2021,6,Titolare,0002199,011,Kalex Moto2
000035,Moto2,American Racing,18,2021,6,Titolare,0002293,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,1,2022,14,Titolare,0000271,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,2,2022,14,Titolare,0000303,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,3,2022,14,Titolare,0000330,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,4,2022,14,Titolare,0000440,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,5,2022,14,Titolare,0000517,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,6,2022,14,Titolare,0000560,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,7,2022,14,Titolare,0000642,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,8,2022,14,Titolare,0000677,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,9,2022,14,Titolare,0000741,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,10,2022,14,Titolare,0000802,011,Kalex Moto2
000036,Moto2,Elf Marc VDS Racing Team,11,2022,14,Titolare,0000859,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,1,2021,14,Titolare,0000948,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,2,2021,14,Titolare,0001021,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,3,2021,14,Titolare,0001103,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,4,2021,14,Titolare,0001189,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,5,2021,14,Titolare,0001252,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,6,2021,14,Titolare,0001336,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,7,2021,14,Titolare,0001420,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,8,2021,14,Titolare,0001504,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,9,2021,14,Titolare,0001595,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,10,2021,14,Titolare,0001661,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,11,2021,14,Titolare,0001732,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,12,2021,14,Titolare,0001814,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,13,2021,14,Titolare,0001883,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,14,2021,14,Titolare,0001973,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,15,2021,14,Titolare,0002043,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,16,2021,14,Titolare,0002138,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,17,2021,14,Titolare,0002214,011,Kalex Moto2
000036,Moto2,Liqui Moly Intact GP,18,2021,14,Titolare,0002295,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,1,2021,22,Titolare,0000933,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,1,2022,22,Titolare,0000269,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,2,2021,22,Titolare,0001011,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,2,2022,22,Titolare,0000299,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,3,2021,22,Titolare,0001117,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,3,2022,22,Titolare,0000334,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,4,2021,22,Titolare,0001171,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,4,2022,22,Titolare,0000466,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,5,2021,22,Titolare,0001274,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,5,2022,22,Titolare,0000519,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,6,2021,22,Titolare,0001350,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,6,2022,22,Titolare,0000586,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,7,2021,22,Titolare,0001414,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,7,2022,22,Titolare,,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,8,2021,22,Titolare,0001493,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,8,2022,22,Titolare,0000698,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,9,2021,22,Titolare,0001570,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,9,2022,22,Titolare,0000757,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,10,2021,22,Titolare,0001658,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,10,2022,22,Titolare,0000795,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,11,2021,22,Titolare,0001723,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,11,2022,22,Titolare,0000880,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,12,2021,22,Titolare,0001800,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,13,2021,22,Titolare,0001898,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,14,2021,22,Titolare,0001962,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,15,2021,22,Titolare,0002064,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,16,2021,22,Titolare,0002116,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,17,2021,22,Titolare,0002197,011,Kalex Moto2
000037,Moto2,Elf Marc VDS Racing Team,18,2021,22,Titolare,0002279,011,Kalex Moto2
000038,Moto2,Flexbox HP40,1,2022,9,Titolare,0000273,011,Kalex Moto2
000038,Moto2,Flexbox HP40,2,2022,9,Titolare,0000308,011,Kalex Moto2
000038,Moto2,Flexbox HP40,3,2022,9,Titolare,0000344,011,Kalex Moto2
000038,Moto2,Flexbox HP40,4,2022,9,Titolare,0000444,011,Kalex Moto2
000038,Moto2,Flexbox HP40,5,2022,9,Titolare,0000500,011,Kalex Moto2
000038,Moto2,Flexbox HP40,6,2022,9,Titolare,0000567,011,Kalex Moto2
000038,Moto2,Flexbox HP40,7,2022,9,Titolare,0000624,011,Kalex Moto2
000038,Moto2,Flexbox HP40,8,2022,9,Titolare,0000685,011,Kalex Moto2
000038,Moto2,Flexbox HP40,9,2022,9,Titolare,0000745,011,Kalex Moto2
000038,Moto2,Flexbox HP40,10,2022,9,Titolare,0000822,011,Kalex Moto2
000038,Moto2,Flexbox HP40,11,2022,9,Titolare,0000864,011,Kalex Moto2
000038,Moto2,Speed Up,1,2021,9,Titolare,0000942,010,B-21
000038,Moto2,Speed Up,2,2021,9,Titolare,0001023,010,B-21
000038,Moto2,Speed Up,3,2021,9,Titolare,0001109,010,B-21
000038,Moto2,Speed Up,4,2021,9,Titolare,0001180,010,B-21
000038,Moto2,Speed Up,5,2021,9,Titolare,0001258,010,B-21
000038,Moto2,Speed Up,6,2021,9,Titolare,0001355,010,B-21
000038,Moto2,Speed Up,7,2021,9,Titolare,0001418,010,B-21
000038,Moto2,Speed Up,8,2021,9,Titolare,0001495,010,B-21
000038,Moto2,Speed Up,9,2021,9,Titolare,0001573,010,B-21
000038,Moto2,Speed Up,10,2021,9,Titolare,0001664,010,B-21
000038,Moto2,Speed Up,11,2021,9,Titolare,0001749,010,B-21
000038,Moto2,Speed Up,12,2021,9,Titolare,0001799,010,B-21
000038,Moto2,Speed Up,13,2021,9,Titolare,0001878,010,B-21
000038,Moto2,Speed Up,14,2021,9,Titolare,0001971,010,B-21
000038,Moto2,Speed Up,15,2021,9,Titolare,0002049,010,B-21
000038,Moto2,Speed Up,16,2021,9,Titolare,0002120,010,B-21
000038,Moto2,Speed Up,17,2021,9,Titolare,0002201,010,B-21
000038,Moto2,Speed Up,18,2021,9,Titolare,0002280,010,B-21
000039,Moto2,Aspar Team,1,2021,44,Titolare,0000945,010,B-21
000039,Moto2,Aspar Team,2,2021,44,Titolare,0001032,010,B-21
000039,Moto2,Aspar Team,3,2021,44,Titolare,0001089,010,B-21
000039,Moto2,Aspar Team,4,2021,44,Titolare,0001177,010,B-21
000039,Moto2,Aspar Team,5,2021,44,Titolare,0001278,010,B-21
000039,Moto2,Aspar Team,6,2021,44,Titolare,0001340,010,B-21
000039,Moto2,Aspar Team,7,2021,44,Titolare,0001439,010,B-21
000039,Moto2,Aspar Team,8,2021,44,Titolare,0001490,010,B-21
000039,Moto2,Aspar Team,9,2021,44,Titolare,0001591,010,B-21
000039,Moto2,Aspar Team,10,2021,44,Titolare,0001646,010,B-21
000039,Moto2,Aspar Team,11,2021,44,Titolare,0001727,010,B-21
000039,Moto2,Aspar Team,12,2021,44,Titolare,0001803,010,B-21
000039,Moto2,Aspar Team,13,2021,44,Titolare,0001879,010,B-21
000039,Moto2,Aspar Team,14,2021,44,Titolare,0001961,010,B-21
000039,Moto2,Aspar Team,15,2021,44,Titolare,0002048,010,B-21
000039,Moto2,Aspar Team,16,2021,44,Titolare,0002118,010,B-21
000039,Moto2,Aspar Team,17,2021,44,Titolare,0002198,010,B-21
000039,Moto2,Aspar Team,18,2021,44,Titolare,0002277,010,B-21
000039,Moto2,Flexbox HP40,1,2022,40,Titolare,0000268,011,Kalex Moto2
000039,Moto2,Flexbox HP40,2,2022,40,Titolare,0000298,011,Kalex Moto2
000039,Moto2,Flexbox HP40,3,2022,40,Titolare,0000328,011,Kalex Moto2
000039,Moto2,Flexbox HP40,4,2022,40,Titolare,0000459,011,Kalex Moto2
000039,Moto2,Flexbox HP40,5,2022,40,Titolare,0000515,011,Kalex Moto2
000039,Moto2,Flexbox HP40,6,2022,40,Titolare,0000559,011,Kalex Moto2
000039,Moto2,Flexbox HP40,7,2022,40,Titolare,0000617,011,Kalex Moto2
000039,Moto2,Flexbox HP40,8,2022,40,Titolare,0000700,011,Kalex Moto2
000039,Moto2,Flexbox HP40,9,2022,40,Titolare,0000733,011,Kalex Moto2
000039,Moto2,Flexbox HP40,10,2022,40,Titolare,0000801,011,Kalex Moto2
000039,Moto2,Flexbox HP40,11,2022,40,Titolare,,011,Kalex Moto2
000040,Moto2,Aspar Team,1,2021,75,Titolare,0000953,010,B-21
000040,Moto2,Aspar Team,2,2021,75,Titolare,0001025,010,B-21
000040,Moto2,Aspar Team,3,2021,75,Titolare,0001100,010,B-21
000040,Moto2,Aspar Team,4,2021,75,Titolare,0001194,010,B-21
000040,Moto2,Aspar Team,5,2021,75,Titolare,0001262,010,B-21
000040,Moto2,Aspar Team,6,2021,75,Titolare,0001353,010,B-21
000040,Moto2,Aspar Team,7,2021,75,Titolare,0001419,010,B-21
000040,Moto2,Aspar Team,8,2021,75,Titolare,0001496,010,B-21
000040,Moto2,Aspar Team,9,2021,75,Titolare,0001578,010,B-21
000040,Moto2,Aspar Team,10,2021,75,Titolare,0001659,010,B-21
000040,Moto2,Aspar Team,11,2021,75,Titolare,0001748,010,B-21
000040,Moto2,Aspar Team,12,2021,75,Titolare,0001815,010,B-21
000040,Moto2,Aspar Team,13,2021,75,Titolare,0001902,010,B-21
000040,Moto2,Aspar Team,14,2021,75,Titolare,0001980,010,B-21
000040,Moto2,Aspar Team,15,2021,75,Titolare,0002062,010,B-21
000040,Moto2,Aspar Team,16,2021,75,Titolare,0002126,010,B-21
000040,Moto2,Aspar Team,17,2021,75,Titolare,0002224,010,B-21
000040,Moto2,Aspar Team,18,2021,75,Titolare,0002294,010,B-21
000040,Moto2,GasGas Aspar Team,1,2022,75,Titolare,0000279,011,Kalex Moto2
000040,Moto2,GasGas Aspar Team,2,2022,75,Titolare,0000305,011,Kalex Moto2
000040,Moto2,GasGas Aspar Team,3,2022,75,Titolare,0000332,011,Kalex Moto2
