classe,anno,numeroProve,punteggio
Moto2,2019,19,001
Moto2,2020,15,001
Moto2,2021,18,001
Moto2,2022,20,001
Moto3,2019,19,001
Moto3,2020,15,001
Moto3,2021,18,001
Moto3,2022,20,001
MotoE,2019,4,001
MotoE,2020,5,001
MotoE,2021,6,001
MotoE,2022,6,001
MotoGP,2019,19,001
MotoGP,2020,14,001
MotoGP,2021,18,001
MotoGP,2022,20,001
