idRisultato,gara,posizionePartenza,posizioneArrivo,ritiro,tempoTotale,giroVeloce,giriInTesta
0000103,000005,24,8,0,00:00:00,00:00:00,0
0000104,000005,10,9,0,00:00:00,00:00:00,0
0000105,000005,14,10,0,00:00:00,00:00:00,0
0000106,000005,16,11,0,00:00:00,00:00:00,0
0000107,000005,8,12,0,00:00:00,00:00:00,0
0000108,000005,19,13,0,00:00:00,00:00:00,0
0000109,000005,20,14,0,00:00:00,00:00:00,0
0000110,000005,6,15,0,00:00:00,00:00:00,0
0000111,000005,17,16,0,00:00:00,00:00:00,0
0000112,000005,22,17,0,00:00:00,00:00:00,0
0000113,000005,21,18,1,00:00:00,00:00:00,0
0000114,000005,15,19,1,00:00:00,00:00:00,0
0000115,000005,2,20,1,00:00:00,00:00:00,0
0000116,000005,4,21,1,00:00:00,00:00:00,0
0000117,000005,12,22,1,00:00:00,00:00:00,0
0000118,000005,18,23,1,00:00:00,00:00:00,0
0000119,000005,13,24,1,00:00:00,00:00:00,0
0000120,000006,1,1,0,00:00:00,00:00:00,0
0000121,000006,2,2,0,00:00:00,00:00:00,0
0000122,000006,3,3,0,00:00:00,00:00:00,0
0000123,000006,5,4,0,00:00:00,00:00:00,0
0000124,000006,4,5,0,00:00:00,00:00:00,0
0000125,000006,9,6,0,00:00:00,00:00:00,0
0000126,000006,7,7,0,00:00:00,00:00:00,0
0000127,000006,11,8,0,00:00:00,00:00:00,0
0000128,000006,8,9,0,00:00:00,00:00:00,0
0000129,000006,15,10,0,00:00:00,00:00:00,0
0000130,000006,13,11,0,00:00:00,00:00:00,0
0000131,000006,21,12,0,00:00:00,00:00:00,0
0000132,000006,22,13,0,00:00:00,00:00:00,0
0000133,000006,12,14,0,00:00:00,00:00:00,0
0000134,000006,16,15,0,00:00:00,00:00:00,0
0000135,000006,19,16,0,00:00:00,00:00:00,0
0000136,000006,23,17,0,00:00:00,00:00:00,0
0000137,000006,17,18,0,00:00:00,00:00:00,0
0000138,000006,14,19,0,00:00:00,00:00:00,0
0000139,000006,18,20,0,00:00:00,00:00:00,0
0000140,000006,24,21,0,00:00:00,00:00:00,0
0000141,000006,10,22,0,00:00:00,00:00:00,0
0000142,000006,20,23,1,00:00:00,00:00:00,0
0000143,000006,6,24,1,00:00:00,00:00:00,0
0000144,000006,25,25,1,00:00:00,00:00:00,0
0000145,000007,5,1,0,00:00:00,00:00:00,0
0000146,000007,2,2,0,00:00:00,00:00:00,0
0000147,000007,3,3,0,00:00:00,00:00:00,0
0000148,000007,4,4,0,00:00:00,00:00:00,0
0000149,000007,9,5,0,00:00:00,00:00:00,0
0000150,000007,10,6,0,00:00:00,00:00:00,0
0000151,000007,12,7,0,00:00:00,00:00:00,0
0000152,000007,18,8,0,00:00:00,00:00:00,0
0000153,000007,15,9,0,00:00:00,00:00:00,0
0000154,000007,14,10,0,00:00:00,00:00:00,0
0000155,000007,11,11,0,00:00:00,00:00:00,0
0000156,000007,13,12,0,00:00:00,00:00:00,0
0000157,000007,16,13,0,00:00:00,00:00:00,0
0000158,000007,21,14,0,00:00:00,00:00:00,0
0000159,000007,19,15,0,00:00:00,00:00:00,0
0000160,000007,20,16,0,00:00:00,00:00:00,0
0000161,000007,23,17,0,00:00:00,00:00:00,0
0000162,000007,17,18,1,00:00:00,00:00:00,0
0000163,000007,1,19,1,00:00:00,00:00:00,0
0000164,000007,8,20,1,00:00:00,00:00:00,0
0000165,000007,6,21,1,00:00:00,00:00:00,0
0000166,000007,24,22,1,00:00:00,00:00:00,0
0000167,000007,7,23,1,00:00:00,00:00:00,0
0000168,000007,22,24,1,00:00:00,00:00:00,0
0000169,000008,5,1,0,00:00:00,00:00:00,0
0000170,000008,6,2,0,00:00:00,00:00:00,0
0000171,000008,7,3,0,00:00:00,00:00:00,0
0000172,000008,4,4,0,00:00:00,00:00:00,0
0000173,000008,2,5,0,00:00:00,00:00:00,0
0000174,000008,3,6,0,00:00:00,00:00:00,0
0000175,000008,16,7,0,00:00:00,00:00:00,0
0000176,000008,8,8,0,00:00:00,00:00:00,0
0000177,000008,15,9,0,00:00:00,00:00:00,0
0000178,000008,11,10,0,00:00:00,00:00:00,0
0000179,000008,1,11,0,00:00:00,00:00:00,0
0000180,000008,24,12,0,00:00:00,00:00:00,0
0000181,000008,14,13,0,00:00:00,00:00:00,0
0000182,000008,18,14,0,00:00:00,00:00:00,0
0000183,000008,12,15,0,00:00:00,00:00:00,0
0000184,000008,20,16,0,00:00:00,00:00:00,0
0000185,000008,23,17,0,00:00:00,00:00:00,0
0000186,000008,13,18,0,00:00:00,00:00:00,0
0000187,000008,19,19,0,00:00:00,00:00:00,0
0000188,000008,26,20,0,00:00:00,00:00:00,0
0000189,000008,25,21,0,00:00:00,00:00:00,0
0000190,000008,22,22,0,00:00:00,00:00:00,0
0000191,000008,10,23,1,00:00:00,00:00:00,0
0000192,000008,17,24,1,00:00:00,00:00:00,0
0000193,000008,21,25,1,00:00:00,00:00:00,0
0000194,000008,9,26,1,00:00:00,00:00:00,0
0000195,000009,3,1,0,00:00:00,00:00:00,0
0000196,000009,4,2,0,00:00:00,00:00:00,0
0000197,000009,4,3,0,00:00:00,00:00:00,0
0000198,000009,17,4,0,00:00:00,00:00:00,0
0000199,000009,1,5,0,00:00:00,00:00:00,0
0000200,000009,9,6,0,00:00:00,00:00:00,0
0000201,000009,8,7,0,00:00:00,00:00:00,0
0000202,000009,15,8,0,00:00:00,00:00:00,0
0000203,000009,16,9,0,00:00:00,00:00:00,0
0000204,000009,25,10,0,00:00:00,00:00:00,0
0000205,000009,20,11,0,00:00:00,00:00:00,0
0000206,000009,23,12,0,00:00:00,00:00:00,0
0000207,000009,18,13,0,00:00:00,00:00:00,0
0000208,000009,11,14,0,00:00:00,00:00:00,0
0000209,000009,24,15,0,00:00:00,00:00:00,0
0000210,000009,22,16,0,00:00:00,00:00:00,0
0000211,000009,10,17,0,00:00:00,00:00:00,0
0000212,000009,19,18,1,00:00:00,00:00:00,0
0000213,000009,5,19,1,00:00:00,00:00:00,0
0000214,000009,14,20,1,00:00:00,00:00:00,0
0000215,000009,13,21,1,00:00:00,00:00:00,0
0000216,000009,2,22,1,00:00:00,00:00:00,0
0000217,000009,21,23,1,00:00:00,00:00:00,0
0000218,000009,12,24,1,00:00:00,00:00:00,0
0000219,000009,7,25,1,00:00:00,00:00:00,0
0000220,000010,2,1,0,00:00:00,00:00:00,0
0000221,000010,3,2,0,00:00:00,00:00:00,0
0000222,000010,6,3,0,00:00:00,00:00:00,0
0000223,000010,4,4,0,00:00:00,00:00:00,0
0000224,000010,7,5,0,00:00:00,00:00:00,0
0000225,000010,8,6,0,00:00:00,00:00:00,0
0000226,000010,15,7,0,00:00:00,00:00:00,0
0000227,000010,5,8,0,00:00:00,00:00:00,0
0000228,000010,14,9,0,00:00:00,00:00:00,0
0000229,000010,17,10,0,00:00:00,00:00:00,0
0000230,000010,11,11,0,00:00:00,00:00:00,0
0000231,000010,22,12,0,00:00:00,00:00:00,0
0000232,000010,20,13,0,00:00:00,00:00:00,0
0000233,000010,19,14,0,00:00:00,00:00:00,0
0000234,000010,21,15,0,00:00:00,00:00:00,0
0000235,000010,18,16,0,00:00:00,00:00:00,0
0000236,000010,13,17,1,00:00:00,00:00:00,0
0000237,000010,9,18,1,00:00:00,00:00:00,0
0000238,000010,10,19,1,00:00:00,00:00:00,0
0000239,000010,6,20,1,00:00:00,00:00:00,0
0000240,000010,23,21,1,00:00:00,00:00:00,0
0000241,000010,1,22,1,00:00:00,00:00:00,0
0000242,000010,12,23,1,00:00:00,00:00:00,0
0000243,000011,1,1,0,00:00:00,00:00:00,0
0000244,000011,4,2,0,00:00:00,00:00:00,0
0000245,000011,11,3,0,00:00:00,00:00:00,0
0000246,000011,5,4,0,00:00:00,00:00:00,0
0000247,000011,10,5,0,00:00:00,00:00:00,0
0000248,000011,6,6,0,00:00:00,00:00:00,0
0000249,000011,3,7,0,00:00:00,00:00:00,0
0000250,000011,14,8,0,00:00:00,00:00:00,0
0000251,000011,8,9,0,00:00:00,00:00:00,0
0000252,000011,9,10,0,00:00:00,00:00:00,0
0000253,000011,16,11,0,00:00:00,00:00:00,0
0000254,000011,12,12,0,00:00:00,00:00:00,0
0000255,000011,7,13,0,00:00:00,00:00:00,0
0000256,000011,15,14,0,00:00:00,00:00:00,0
0000257,000011,21,15,0,00:00:00,00:00:00,0
0000258,000011,17,16,0,00:00:00,00:00:00,0
0000259,000011,13,17,0,00:00:00,00:00:00,0
0000260,000011,18,18,0,00:00:00,00:00:00,0
0000261,000011,19,19,0,00:00:00,00:00:00,0
0000262,000011,22,20,0,00:00:00,00:00:00,0
0000263,000011,23,21,1,00:00:00,00:00:00,0
0000264,000011,2,22,1,00:00:00,00:00:00,0
0000265,000011,24,23,1,00:00:00,00:00:00,0
0000266,000011,20,24,1,00:00:00,00:00:00,0
0000267,000012,1,1,0,00:00:00,00:00:00,0
0000268,000012,9,2,0,00:00:00,00:00:00,0
0000269,000012,3,3,0,00:00:00,00:00:00,0
0000270,000012,6,4,0,00:00:00,00:00:00,0
0000271,000012,2,5,0,00:00:00,00:00:00,0
0000272,000012,5,6,0,00:00:00,00:00:00,0
0000273,000012,12,7,0,00:00:00,00:00:00,0
0000274,000012,14,8,0,00:00:00,00:00:00,0
0000275,000012,11,9,0,00:00:00,00:00:00,0
0000276,000012,13,10,0,00:00:00,00:00:00,0
0000277,000012,7,11,0,00:00:00,00:00:00,0
0000278,000012,10,12,0,00:00:00,00:00:00,0
0000279,000012,15,13,0,00:00:00,00:00:00,0
0000280,000012,21,14,0,00:00:00,00:00:00,0
0000281,000012,26,15,0,00:00:00,00:00:00,0
0000282,000012,8,16,0,00:00:00,00:00:00,0
0000283,000012,20,17,0,00:00:00,00:00:00,0
0000284,000012,18,18,0,00:00:00,00:00:00,0
0000285,000012,17,19,0,00:00:00,00:00:00,0
0000286,000012,23,20,0,00:00:00,00:00:00,0
0000287,000012,22,21,0,00:00:00,00:00:00,0
0000288,000012,24,22,0,00:00:00,00:00:00,0
0000289,000012,25,23,0,00:00:00,00:00:00,0
